Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,69.68,70.83,68.66,70.23,68.81,7838854.0
2022-07-04,70.19,71.51,69.48,69.79,68.38,2529165.0
2022-07-05,69.51,70.0,67.93,69.66,68.25,11473504.0
2022-07-06,69.27,70.87,68.61,68.83,67.45,7774514.0
2022-07-07,68.84,69.73,68.66,68.9,67.51,8896357.0
2022-07-08,68.5,68.94,67.62,68.55,67.18,10092454.0
2022-07-11,68.69,69.75,68.02,69.05,67.67,5430191.0
2022-07-12,68.98,70.48,68.98,70.36,68.94,7770482.0
2022-07-13,69.91,73.41,69.11,72.93,71.46,24125095.0
2022-07-14,72.73,72.73,70.62,71.3,69.86,14247733.0
2022-07-15,71.23,72.94,70.58,72.72,71.25,7564947.0
2022-07-18,73.18,73.65,71.37,71.69,70.24,7061071.0
2022-07-19,71.9,72.3,70.09,70.93,69.5,6677929.0
2022-07-20,71.32,71.73,70.58,71.29,69.85,5807614.0
2022-07-21,71.63,73.0,71.02,72.59,71.14,7703422.0
2022-07-22,72.93,73.5,71.87,73.27,71.8,7224359.0
2022-07-25,73.08,73.58,71.58,71.86,70.41,12729542.0
2022-07-26,71.61,71.86,68.82,70.76,69.33,21607650.0
2022-07-27,70.8,72.59,70.01,71.45,70.02,16587315.0
2022-07-28,71.32,73.79,70.91,73.59,72.12,14636423.0
2022-07-29,73.33,74.79,73.02,73.83,72.35,22327127.0
2022-08-01,73.69,74.58,71.51,71.76,70.32,12281926.0
2022-08-02,72.0,72.27,69.51,70.09,68.69,16796397.0
2022-08-03,70.33,71.29,70.01,70.83,69.41,13393438.0
2022-08-04,71.0,71.98,68.45,69.76,68.35,10035391.0
2022-08-05,69.41,71.4,69.08,69.93,68.52,12783154.0
2022-08-08,70.3,72.13,70.15,71.04,69.61,13575166.0
2022-08-09,70.66,71.48,70.12,71.16,69.73,12475000.0
2022-08-10,71.5,72.58,71.12,71.5,70.06,12419429.0
2022-08-11,71.51,72.19,70.66,71.73,70.28,12876640.0
2022-08-12,71.83,72.8,71.61,71.77,70.33,7393480.0
2022-08-15,71.98,72.63,71.41,71.57,70.13,5655739.0
2022-08-16,71.73,72.54,70.86,71.95,70.51,12259988.0
2022-08-17,71.95,72.95,71.51,72.8,71.34,6070908.0
2022-08-18,72.75,73.09,72.19,72.87,71.4,9332089.0
2022-08-19,72.82,73.16,71.2,71.41,69.98,7653330.0
2022-08-22,71.22,72.05,69.9,70.08,68.68,9132301.0
2022-08-23,70.54,71.19,70.01,71.01,69.58,10587717.0
2022-08-24,70.83,70.98,69.33,69.52,68.13,8207649.0
2022-08-25,69.52,70.16,69.19,69.66,68.26,7186733.0
2022-08-26,69.02,69.3,68.52,68.69,67.3,1819159.0
2022-08-29,68.61,69.48,67.91,68.54,67.16,10291204.0
2022-08-30,68.66,68.76,66.68,67.41,66.05,11003092.0
2022-08-31,67.57,67.84,64.8,65.83,64.51,31046366.0
2022-09-01,65.97,70.19,65.87,69.69,68.29,20187437.0
2022-09-02,69.98,70.68,69.01,69.36,67.96,9506506.0
2022-09-05,69.37,70.98,69.01,70.48,69.06,1087843.0
2022-09-06,70.5,70.84,69.41,70.57,69.15,12597502.0
2022-09-07,70.4,71.63,70.2,70.93,69.5,10360789.0
2022-09-08,71.0,73.48,70.8,73.13,71.66,13041260.0
2022-09-09,73.19,74.25,72.8,74.01,72.53,9810151.0
2022-09-12,74.29,75.26,73.7,75.01,73.51,18027049.0
2022-09-13,74.61,75.54,73.3,74.07,72.58,24277946.0
2022-09-14,74.0,75.01,72.91,73.05,71.59,11847384.0
2022-09-15,73.12,73.43,71.05,73.16,71.68,50311656.0
2022-09-19,73.0,73.68,71.38,73.37,71.89,14726435.0
2022-09-20,73.69,76.44,73.26,76.09,74.56,21798846.0
2022-09-21,76.19,77.23,75.8,76.18,74.64,19615347.0
2022-09-22,75.86,76.5,74.36,74.73,73.22,11303105.0
