Fecha,Centro Ozono,Centro diÛxido de azufre,Centro diÛxido de nitrÛgeno,Centro monÛxido de carbono,Centro PM10
2022-01-01,36.91666667,6.333333333,22.45833333,10.20833333,106.9166667
2022-01-02,17.25,7.75,15.83333333,9.5,97.875
2022-01-03,24.08333333,7.833333333,17.875,5.041666667,61.95833333
2022-01-04,27.58333333,27.41666667,27.125,8.25,91.33333333
2022-01-05,30.875,12.83333333,25.79166667,9.791666667,94
2022-01-06,25.58333333,8.916666667,23.41666667,9.416666667,89.375
2022-01-07,12.33333333,7.833333333,20.91666667,8.416666667,58.91666667
2022-01-08,22.58333333,6.5,18.5,9.458333333,57.58333333
2022-01-09,24.70833333,4.5,14.75,5.291666667,42.66666667
2022-01-10,21.5,7,12.08333333,3.875,36.54166667
2022-01-11,11.95833333,4.583333333,12.375,3.958333333,25
2022-01-12,15.08333333,9.416666667,16.95833333,4.458333333,36.79166667
2022-01-13,14.54166667,17.58333333,18.625,5.458333333,45.70833333
2022-01-14,16.83333333,11.66666667,21.45833333,6.583333333,49.91666667
2022-01-15,18.625,5.916666667,18.20833333,6.416666667,49.875
2022-01-16,19.91666667,9.416666667,15.75,4.875,61
2022-01-17,19.5,6.75,16.04166667,6.041666667,50.95833333
2022-01-18,19.5,4,21.75,6.208333333,39.79166667
2022-01-19,26.54166667,4,20.58333333,6.625,54.08333333
2022-01-20,25.33333333,5.083333333,18.125,6,60.91666667
2022-01-21,19.75,4.666666667,12.375,3.916666667,52.29166667
2022-01-22,23.54166667,5,13.08333333,3.25,30.125
2022-01-23,28.54166667,21.58333333,13.75,4.625,41.875
2022-01-24,16.79166667,10.75,13,4.5,40.95833333
2022-01-25,15.04166667,4,13.83333333,4.541666667,30.45833333
2022-01-26,20.66666667,4,15.625,5.541666667,34.625
2022-01-27,28.04166667,4,16.66666667,6.333333333,41.25
2022-01-28,26.58333333,5.75,15.29166667,6.75,55.08333333
2022-01-29,33.75,7,15.875,3.5,51.70833333
2022-01-30,28.95833333,12.16666667,16.20833333,6.541666667,50.83333333
2022-01-31,19.41666667,4.75,12.04166667,4.541666667,38.66666667
2022-02-01,16.41666667,3.583333333,11.58333333,4.625,30.375
2022-02-02,21.875,3.75,13.45833333,5.208333333,34.75
2022-02-03,18.66666667,4,13.33333333,4.708333333,33.66666667
2022-02-04,17.70833333,3.666666667,13.5,4.833333333,32.25
2022-02-05,20.79166667,22.5,16.95833333,4.958333333,45.79166667
2022-02-06,26.29166667,11.83333333,15.41666667,6.125,47.625
2022-02-07,17.625,4,17.375,6.458333333,48.54166667
2022-02-08,15.5,14.58333333,16.41666667,4.958333333,54.70833333
2022-02-09,16.25,14.33333333,14.16666667,4.875,58.70833333
2022-02-10,14.58333333,4.833333333,13.5,6.541666667,42.16666667
2022-02-11,15.625,4,12.70833333,5.125,40.04166667
2022-02-12,17.25,2.833333333,14.375,5.666666667,34.70833333
2022-02-13,25.45833333,5.833333333,11.54166667,3.666666667,37.75
2022-02-14,21.70833333,24.58333333,18.08333333,5.875,51
2022-02-15,24.79166667,21.91666667,17.66666667,7.041666667,54.54166667
2022-02-16,22.5,8.75,15.25,5.375,47.58333333
2022-02-17,33.20833333,4.333333333,21,7.291666667,41.70833333
2022-02-18,39.20833333,6,22.875,7.583333333,67.125
2022-02-19,35.125,16.75,17.875,7.583333333,80.66666667
2022-02-20,38.16666667,22,17.83333333,6.416666667,71.5
2022-02-21,29.125,9,20.33333333,6.125,60.33333333
2022-02-22,37.20833333,5.083333333,21.41666667,7.583333333,61.29166667
2022-02-23,24.91666667,4.916666667,19.08333333,5.833333333,72.20833333
2022-02-24,27.70833333,10.83333333,19.58333333,6.041666667,70.08333333
2022-02-25,37.58333333,14.66666667,18.66666667,6.375,76.54166667
2022-02-26,32.83333333,26.16666667,14.66666667,5.416666667,77.375
2022-02-27,26.875,13.66666667,14.125,5.875,61.04166667
2022-02-28,18.33333333,14.5,15.66666667,4.958333333,56.25
2022-03-01,21.70833333,22.33333333,19.16666667,6.833333333,70.20833333
2022-03-02,35.58333333,18.58333333,20.08333333,6.333333333,73.08333333
2022-03-03,35.125,21.66666667,18.79166667,5.708333333,83.375
2022-03-04,25.70833333,19.75,17.5,6.416666667,82.79166667
2022-03-05,21.66666667,11.25,17,6.25,67.625
2022-03-06,34.83333333,4.666666667,15.70833333,6.916666667,53.875
2022-03-07,37.04166667,6,15.04166667,5.291666667,55.33333333
2022-03-08,19.54166667,5.916666667,12.5,4.958333333,71.95833333
2022-03-09,18.91666667,4,10.75,4.666666667,46.79166667
2022-03-10,21.41666667,3.75,10.83333333,4.333333333,44.08333333
2022-03-11,19.375,3.25,13.16666667,5.041666667,48
2022-03-12,35.91666667,6.333333333,12.79166667,5.333333333,59.625
2022-03-13,35.75,14.58333333,14.66666667,6.166666667,69.08333333
2022-03-14,35.41666667,5.5,18,6.041666667,59.20833333
2022-03-15,24.95833333,7.166666667,20.29166667,8,73.91666667
2022-03-16,27.29166667,6.416666667,20.04166667,6.958333333,63.16666667
2022-03-17,21.58333333,4,15.625,6.875,56.125
2022-03-18,26.70833333,4.083333333,13.875,5.416666667,48.83333333
2022-03-19,23.16666667,18,13.5,5.458333333,70.58333333
2022-03-20,31.45833333,18,12.33333333,4.875,62.54166667
2022-03-21,30.54166667,8.5,9.833333333,3.916666667,45.20833333
2022-03-22,26.75,4,13.29166667,4.625,43.79166667
2022-03-23,23.45833333,4,16.41666667,6.5,53.54166667
2022-03-24,37.79166667,11.16666667,17.29166667,5.583333333,55.04166667
2022-03-25,39.66666667,23.5,17.66666667,4.833333333,72
2022-03-26,37.41666667,25,16.83333333,5.333333333,79.375
2022-03-27,41.45833333,11.16666667,16.45833333,5.833333333,68.83333333
2022-03-28,44.125,4.833333333,18.95833333,6.708333333,65.95833333
2022-03-29,53.875,5.833333333,17.04166667,6.583333333,81.54166667
2022-03-30,41.5,4.583333333,13.91666667,4.625,75.625
2022-03-31,36.5,4,18.91666667,6.791666667,75.125
2022-04-01,33.95833333,11.75,17.45833333,7.791666667,91.20833333
2022-04-02,52.375,7.25,18.95833333,7.375,89.04166667
2022-04-03,49.875,11.83333333,14.79166667,6.25,89.16666667
2022-04-04,40.58333333,8.25,17.66666667,7.083333333,79.625
2022-04-05,31.75,4,14.16666667,5.25,71.45833333
2022-04-06,52.5,4.75,19.70833333,6.625,73.33333333
2022-04-07,54.45833333,6,14.54166667,4.125,92.875
2022-04-08,28,10.66666667,22.41666667,5.583333333,103.25
2022-04-09,35.375,15.5,19.58333333,6.75,98.375
2022-04-10,30.79166667,8.25,17.625,8.166666667,71.75
2022-04-11,32.54166667,5.333333333,16.70833333,5.75,50.83333333
2022-04-12,32.08333333,6.666666667,14.75,4.875,55
2022-04-13,40.83333333,4.916666667,17.125,5.5,51.79166667
2022-04-14,49.16666667,8.666666667,16.16666667,6.291666667,68.04166667
2022-04-15,47.125,9.416666667,12.08333333,4.416666667,71.58333333
2022-04-16,48.66666667,6.5,12.16666667,4.375,61.125
2022-04-17,41.25,4.75,14.04166667,4.666666667,52.79166667
2022-04-18,37.375,4.916666667,16.79166667,5.5,51.54166667
2022-04-19,38.29166667,5.75,12.125,3.75,61.25
2022-04-20,42.375,6.25,14.75,4.875,51.75
2022-04-21,41.54166667,3.5,15.58333333,5.708333333,47.95833333
2022-04-22,33.83333333,2.5,14.125,4.208333333,47.125
2022-04-23,32.625,2.25,14.54166667,5.5,46.58333333
2022-04-24,39.08333333,2.166666667,14.16666667,5.666666667,54.5
2022-04-25,26.95833333,3.333333333,16.54166667,6.166666667,46.54166667
2022-04-26,16.95833333,5,12.75,4.375,54.20833333
2022-04-27,27.66666667,2.666666667,10.75,3.875,32.04166667
2022-04-28,37.79166667,2.583333333,17.375,5.916666667,39.33333333
2022-04-29,50.5,4,18.41666667,5.666666667,42.83333333
2022-04-30,40.79166667,2.833333333,17.375,6.916666667,51.25
2022-05-01,45.5,3,12.83333333,4.625,54.04166667
2022-05-02,56.79166667,4,16.45833333,5.333333333,65.66666667
2022-05-03,53.83333333,5.583333333,16.66666667,5.125,70.91666667
2022-05-04,56.5,6.5,18.95833333,4.458333333,76.08333333
2022-05-05,62.29166667,4,18.58333333,5.25,92.33333333
2022-05-06,50.54166667,4,18.5,5.041666667,79.58333333
2022-05-07,49.16666667,4,15.625,5.083333333,58.45833333
2022-05-08,47.41666667,4,15.29166667,5.375,54.08333333
2022-05-09,43.66666667,4.083333333,16.54166667,6.416666667,59.625
2022-05-10,31.45833333,7,15.375,5.416666667,67.16666667
2022-05-11,30.375,3.166666667,9.041666667,2.833333333,48.95833333
2022-05-12,35.75,2,11.125,3.291666667,34.58333333
2022-05-13,40.70833333,2.666666667,14.33333333,4.125,47.29166667
2022-05-14,37.375,5.166666667,17.20833333,5.791666667,49.375
2022-05-15,34.66666667,7.666666667,13.58333333,4.166666667,45.04166667
2022-05-16,35.25,6.333333333,15.66666667,4.25,45.625
2022-05-17,43.20833333,5.75,16.5,4.583333333,54.41666667
2022-05-18,40.91666667,8.25,18.66666667,5.458333333,61.25
2022-05-19,55.29166667,13.16666667,14.04166667,4.541666667,64.79166667
2022-05-20,67,7.083333333,17.29166667,4.625,66.125
2022-05-21,65.75,9.25,16.79166667,5.916666667,79.70833333
2022-05-22,44,13.41666667,16.25,5.666666667,91.29166667
2022-05-23,39.83333333,12.66666667,16.125,4.291666667,66.79166667
2022-05-24,32.66666667,8.25,19.33333333,5.083333333,47.875
2022-05-25,41.25,4,17.5,6.958333333,50.54166667
2022-05-26,39.45833333,3.5,11.04166667,3,60.20833333
2022-05-27,27.125,2,10.375,3.041666667,50.5
2022-05-28,26.95833333,4.666666667,10.41666667,2.625,52.875
2022-05-29,41.16666667,5.916666667,10.66666667,3.666666667,43.45833333
2022-05-30,42.25,8.583333333,11.25,3.375,48.16666667
2022-05-31,37.25,11.25,13.58333333,3.666666667,54.375
2022-06-01,23.79166667,8.666666667,12.79166667,4.041666667,51
2022-06-02,25.08333333,3.166666667,8.958333333,3.291666667,29.875
2022-06-03,35.5,2,11.58333333,3.208333333,34
2022-06-04,36.125,4.083333333,14.20833333,3.833333333,46.83333333
2022-06-05,33.04166667,6.916666667,12.5,3.958333333,56.20833333
2022-06-06,30.25,5.5,16.08333333,4.833333333,49.20833333
2022-06-07,52.16666667,5.333333333,18,5.166666667,56.70833333
