Estado,Regiones,H_1990,M_1990,H_2000,M_2000,H_2010,M_2010,H_2020,M_2020
 Aguascalientes,Noreste,350218,369441,456533,487752,576638,608358,696683,728924
 Baja California,Noroeste,832090,828765,1252581,1234786,1591610,1563460,1900589,1868431
 Baja California Sur,Noroeste,161833,155931,216250,207791,325433,311593,405879,392568
 Campeche,Sureste,268772,266413,344334,346355,407721,414720,456939,471424
 Coahuila de Zaragoza,Noreste,979097,993243,1140195,1157875,1364197,1384194,1563669,1583102
 Colima,Occidente,212543,215967,268192,274435,322790,327765,360622,370769
 Chiapas,Sureste,1604773,1605723,1941880,1979012,2352807,2443773,2705947,2837881
 Chihuahua,Noroeste,1213302,1228571,1519972,1532935,1692545,1713920,1853822,1888047
 CDMX,Centro-Sur,3939911,4295833,4110485,4494754,4233783,4617297,4404927,4805017
 Durango,Noroeste,664766,684612,709521,739140,803890,829044,904866,927784
 Guanajuato,Noreste,1926735,2055858,2233315,2429717,2639425,2846947,2996454,3170480
 Guerrero,Centro-Sur,1282220,1338417,1491287,1588362,1645561,1743207,1700612,1840073
 Hidalgo,Occidente,929138,959228,1081993,1153598,1285222,1379796,1481379,1601462
 Jalisco,Noroeste,2564892,2737797,3070241,3251761,3600641,3750041,4098455,4249696
 Mexico,Occidente,4834549,4981246,6407213,6689473,7396986,7778876,8251295,8741123
 Michoacan,Occidente,1718763,1829436,1911078,2074589,2102109,2248928,2306341,2442505
 Morelos,Centro-Sur,583785,611274,750799,804497,858588,918639,950847,1020673
 Nayarit,Noroeste,411057,413586,456105,464080,541007,543972,612278,623178
 Nuevo Leon,Noreste,1542664,1556072,1907939,1926202,2320185,2333273,2890950,2893492
 Oaxaca,Sureste,1477438,1542122,1657406,1781359,1819008,1982954,1974843,2157305
 Puebla,Centro-Sur,2008531,2117570,2448801,2627885,2769855,3009974,3160115,3423163
 Queretaro,Noreste,516168,535067,680966,723340,887188,940749,1156820,1211647
 Quintana Roo,Sureste,254908,238369,448308,426655,673220,652358,936779,921206
 San Luis Potosi,Noreste,987315,1015872,1120837,1178523,1260366,1325152,1372451,1449804
 Sinaloa,Noroeste,1101621,1102433,1264143,1272701,1376201,1391560,1494815,1532128
 Sonora,Noroeste,915088,908518,1110590,1106379,1339612,1322868,1472197,1472643
 Tabasco,Sureste,749982,751762,934515,957314,1100758,1137845,1173671,1228927
 Tamaulipas,Noreste,1111698,1137883,1359874,1393348,1616201,1652353,1736140,1791595
 Tlaxcala,Centro-Sur,375130,386147,469948,492698,565775,604161,649894,693083
 Veracruz,Sureste,3077427,3150812,3355164,3553811,3695679,3947515,3871774,4190805
 Yucatan,Sureste,673892,689048,818205,840005,963333,992244,1140279,1180619
 Zacatecas,Noreste,623663,652660,653583,700027,726897,763771,791058,831080
