fecha,producto,cantidad,precio,total
2024-01-01,A001,3,120.5,361.5
2024/01/02,A002,2,85.0,170.0
03-01-2024,A001, ,120.5,
2024-01-04,A003,5,60,300
2024-01-04,A003,5,60,300
2024-01-05,A004,1,99.99,99.99
2024-01-06,A001,2,120.5,241.0
2024-01-07,A005,cinco,150,
2024/01/08,A002,3,85,255
2024-13-01,A001,4,120.5,482
2024-01-10,A006,,200,
2024-01-11,A003,8,60,480
2024-01-12,A004,1,99.99,99.99
2024-01-13,A007,1000,10,10000
2024/01/13,A007,1000,10,10000
2024-01-14,A002,2,85,170
2024-01-15,A005,3,150,450
